"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"12","24-10044_WC1-2024-269_LFB","6/12/2024 0:00","WC1-2024-269_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-269_LFB",NA,"24-10044"
"13","24-10044_WC1-2024-269_Dup","6/12/2024 0:00","WC1-2024-269_Dup",NA,NA,NA,"Water","NCP","24-10092_34757",NA,NA,"Exact Scientific","WC1-2024-269_Dup",NA,"24-10044"
"14","24F0264_24F0264-02","6/11/2024 9:56","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,"24F0264","ARL","24F0264-02","","24-10044"
"15","24F0264_24F0264-01","6/11/2024 9:56","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,"24F0264","ARL","24F0264-01","Ophos Field Filtered","24-10044"
"16","24F0264_24F0264-03","6/11/2024 10:02","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,"24F0264","ARL","24F0264-03","Ophos Field Filtered","24-10044"
"17","24F0264_24F0264-04","6/11/2024 10:02","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,"24F0264","ARL","24F0264-04","","24-10044"
"18","24F0264_BMF0308-MS1","6/11/2024 9:56","AS-INMS",NA,NA,NA,"Water","MS","24F0264_24F0264-01",NA,"24F0264","ARL","BMF0308-MS1","Ophos Field Filtered","24-10044"
"19","24F0264_BMF0308-BLK1","6/12/2024 14:40","BMF0308-BLK1",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0308-BLK1","","24-10044"
"20","24F0264_BMF0412-BLK1","6/15/2024 14:01","BMF0412-BLK1",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0412-BLK1","","24-10044"
"21","24F0264_BMF0419-BLK1","6/15/2024 14:25","BMF0419-BLK1",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0419-BLK1","","24-10044"
"22","24F0264_BMF0446-BLK1","6/17/2024 15:16","BMF0446-BLK1",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0446-BLK1","","24-10044"
"23","24F0264_BMF0446-BLK2","6/17/2024 15:16","BMF0446-BLK2",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0446-BLK2","","24-10044"
"24","24F0264_BMF0446-BLK3","6/17/2024 15:16","BMF0446-BLK3",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0446-BLK3","","24-10044"
"25","24F0264_BMF0446-BLK4","6/17/2024 15:16","BMF0446-BLK4",NA,NA,NA,"Water","MB","",NA,"24F0264","ARL","BMF0446-BLK4","","24-10044"
"26","24F0264_BMF0308-BS1","6/12/2024 14:40","BMF0308-BS1",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0308-BS1","","24-10044"
"27","24F0264_BMF0412-BS1","6/15/2024 14:01","BMF0412-BS1",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0412-BS1","","24-10044"
"28","24F0264_BMF0419-BS1","6/15/2024 14:25","BMF0419-BS1",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0419-BS1","","24-10044"
"29","24F0264_BMF0446-BS1","6/17/2024 15:16","BMF0446-BS1",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0446-BS1","","24-10044"
"30","24F0264_BMF0446-BS2","6/17/2024 15:16","BMF0446-BS2",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0446-BS2","","24-10044"
"31","24F0264_BMF0446-BS3","6/17/2024 15:16","BMF0446-BS3",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0446-BS3","","24-10044"
"32","24F0264_BMF0446-BS4","6/17/2024 15:16","BMF0446-BS4",NA,NA,NA,"Water","LCS","",NA,"24F0264","ARL","BMF0446-BS4","","24-10044"
"33","24F0264_BMF0308-DUP1","6/11/2024 9:56","AS-INLDUP",NA,NA,NA,"Water","LAB_D","24F0264_24F0264-01",NA,"24F0264","ARL","BMF0308-DUP1","Ophos Field Filtered","24-10044"
