SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24F0264_BMF0308-MS1,OrthoPhosphorus,Ortho Phosphorus,,95.5,%,T,SC,Total,SM 4500-P E-11,6/12/2024 14:40,6/12/2024 15:26,061224PO4TSRBb2007,BMF0308,SMF0144,0.004,0.004,0.004,,mg/L,Lab Batch BMF0308,,125,75,1,0.1005,0.1,mg/L
24F0264_BMF0412-BLK1,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 14:01,6/24/2024 18:43,XDTm2240624057,BMF0412,SMF0300,2.92,6,2.92,,ug/L,Lab Batch BMF0412,U,,,1,,,
24F0264_BMF0412-BS1,7440-66-6,Zinc,,102,%,T,SC,Total,EPA 200.8 UCT-KED,6/15/2024 14:01,6/24/2024 18:47,XDTm2240624058,BMF0412,SMF0300,2.92,6,2.92,,ug/L,Lab Batch BMF0412,,120,80,1,80,81.5,ug/L
24F0264_BMF0419-BLK1,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:25,6/19/2024 11:50,XDTm1240619030,BMF0419,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0419,U,,,1,,,
24F0264_BMF0419-BS1,7440-66-6,Zinc,,98.8,%,F,SC,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:25,6/19/2024 11:55,XDTm1240619031,BMF0419,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0419,,120,80,1,80,79,ug/L
24F0264_BMF0446-BLK1,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 13:23,062024PO4TSRB2001,BMF0446,SMF0254,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,U,,,1,,,
24F0264_BMF0446-BLK2,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 13:43,062024PO4TSRB2013,BMF0446,SMF0254,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,U,,,1,,,
24F0264_BMF0446-BLK3,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 17:52,062024PO4TSRBb2001,BMF0446,SMF0274,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,U,,,1,,,
24F0264_BMF0446-BLK4,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 17:55,062024PO4TSRBb2004,BMF0446,SMF0274,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,U,,,1,,,
24F0264_BMF0446-BS1,7723-14-0,Phosphorus,,94.7,%,T,SC,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 13:24,062024PO4TSRB2002,BMF0446,SMF0254,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,,110,90,1,0.15,0.142,mg/L
24F0264_BMF0446-BS2,7723-14-0,Phosphorus,,94,%,T,SC,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 13:43,062024PO4TSRB2014,BMF0446,SMF0254,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,,110,90,1,0.15,0.141,mg/L
24F0264_BMF0446-BS3,7723-14-0,Phosphorus,,98,%,T,SC,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 17:54,062024PO4TSRBb2002,BMF0446,SMF0274,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,,110,90,1,0.15,0.147,mg/L
24F0264_BMF0446-BS4,7723-14-0,Phosphorus,,97.3,%,T,SC,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 17:56,062024PO4TSRBb2005,BMF0446,SMF0274,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,,110,90,1,0.15,0.146,mg/L
